coll_id,coll_name
10194,Toy Story Collection
119050,Grumpy Old Men Collection
96871,Father of the Bride Collection
645,James Bond Collection
117693,Balto Collection
3167,Ace Ventura Collection
91698,Chili Palmer Collection
9435,Babe Collection
9818,Mortal Kombat Collection
136214,Pocahontas Collection
124935,The Lawnmower Man Collection
43563,Friday Collection
10924,From Dusk Till Dawn Collection
122017,Screamers Collection
256377,The Muppet Collection
91430,The Neverending Story Collection
14890,Bad Boys Collection
120794,Batman Collection
439053,Brooklyn Cigar Store Collection
8819,Casper Collection
9649,Mexico Trilogy
1570,Die Hard Collection
259398,Teenage Apocalypse Trilogy
9328,Free Willy Collection
286162,Power Rangers Collection
328073,Síť (kolekce)
9068,The Prophecy Collection
247294,Showgirls Collection
9887,Species Collection
112399,Under Siege Collection
23170,Burnt by the Sun Trilogy
123800,Before... Collection
182813,Clerks Collection
96665,Dumb and Dumber Collection
410261,A Goofy Movie Collection
217704,The Vampire Chronicles
10,Star Wars Collection
286948,Nemesis Collection
300546,Once were Warriors Collection
48188,Poison Ivy Collection
131,Three Colors Collection
144200,Swan Princess Series
53159,The Santa Clause Collection
115142,Tales from the Crypt Collection
115570,Star Trek: The Next Generation Collection
192492,The Jack Ryan Collection
9436,The Crow Collection
351684,The Flintstones (Live-Action) Collection
94032,The Lion King Collection
8581,A Nightmare on Elm Street Collection
43072,The Mask Collection
37139,Naked Gun Collection
167985,Richie Rich Collection
43064,Speed Collection
170452,Timecop Collection
261203,Street Fighter
439409,Fear Collection
8050,Highlander Collection
11716,Addams Family Collection
162028,Stakeout Collection
85861,Beverly Hills Cop Collection
150156,City Slickers Collection
252313,The Endless Summer Collection
134011,The Fugitive / U.S. Marshals Collection
412680,Hard Target Collection
52988,Hot Shots! Collection
159600,House Party Collection
328,Jurassic Park Collection
8580,The Karate Kid Collection
5547,RoboCop Collection
462565,The Secret Garden Collection
105075,The Shadow Collection
422837,Blade Runner Collection
224478,The Brady Bunch Collection
9888,Home Alone Collection
86027,Aladdin Collection
528,The Terminator Collection
9743,The Hannibal Lecter Anthology
153010,Beauty and the Beast Collection
98580,Candyman Collection
43058,Homeward Bound Collection
141086,Heavy Metal Collection
8917,Hellraiser Collection
140910,All Dogs Go to Heaven Collection
87359,Mission: Impossible Collection
169452,DragonHeart Collection
36694,Bloodsport Collection
158391,The Apu Collection
144146,Lemmy Caution Collection
143766,The Substitute Collection
52888,The Visitors Collection
23026,Ghost in the Shell Collection
529,Wallace & Gromit Collection
116661,The Arrival Collection
303969,"Martin Scorsese’s World Cinema Project, Vol. 1"
424202,Trainspotting Collection
304378,Independence Day Collection
97456,The Hunchback of Notre Dame Collection
86028,The Nutty Professor Collection
115838,Escape From ... Collection
230,The Godfather Collection
269098,Police Story Collection
19163,The Land Before Time Collection
91361,Halloween Collection
4438,The Space Odyssey Series
47814,The Thin Man Collection
261590,Living Dead Collection
242765,In the Line of Duty Collection
10709,The Mighty Ducks Collection
87232,The Apple Dumpling Gang Collection
181496,Davy Crockett Collection
90348,Witch Mountain Collection
12087,Herbie Collection
216395,Parent Trap Collection
294519,The Shaggy Dog Collection
55419,Cinderella Collection
271668,Caballeros Collection
100970,The Fox and the Hound Collection
355490,Freeway Collection
86058,Dirty Dancing Collection
118221,Weekend at Bernie's Collection
86336,Basic Instinct Collection
115225,Children of the Corn Collection
937,The Pink Panther (Original) Collection
174218,The Howling Collection
39460,The Water of the Hills Collection
153948,Best of the Best Collection
33071,Cheech & Chong Collection
84,Indiana Jones Collection
8091,Alien Collection
48317,The Man With No Name Collection
1960,Evil Dead Collection
119674,Psycho Collection
112636,The Blues Brothers Collection
330605,The Sting Collection
359005,The Jake Gittes Collection
264,Back to the Future Collection
55427,Fantasia Collection
173344,Qatsi Collection
397842,The Amityville Horror Collection
422193,The Blob Collection
218406,Frankenstein (Universal Series)
257053,Carrie Collection
10919,The Omen Collection
498,Heart of Gold Collection
307637,Jingle All the Way Collection
105629,Paradise Lost Collection
124916,101 Dalmatians (Live-Action) Collection
151,Star Trek: The Original Series Collection
9329,Young Guns Collection
86083,Grease Collection
2366,The Jaws Collection
2602,Scream Collection
166379,Turbulence Collection
393564,McHale's Navy Collection
108693,National Lampoon's Vacation Collection
86224,The Saint Collection
207952,Barrytown Trilogy
105995,Anaconda Collection
1006,Austin Powers Collection
174407,Warriors of Virtue Collection
331475,Shiloh Collection
182923,Tetsuo Collection
86055,Men In Black Collection
43055,Conan the Barbarian Collection
126221,George of the Jungle Collection
97445,Air Bud Collection
10721,Mimic Collection
142680,Alex Cross Collection
135489,Wishmaster Collection
3601,I Know What You Did Last Summer Collection
103372,Mr. Bean Collection
10522,Starship Troopers Collection
372479,Les Boys
351886,The Postman Collection
71458,3 Ninjas Collection
33059,Wild Things Collection
350402,Barney Collection
221966,The Odd Couple Collection
97771,Major League Collection
378453,Henry Fool Collection
87236,Mulan Collection
19387,The X-Files Collection
3169,Dr. Dolittle Collection
945,Lethal Weapon Collection
155474,French Connection Collection
1575,Rocky Collection
9735,Friday the 13th Collection
123255,Prom Night Collection
10455,Child's Play Collection
10453,Poltergeist Collection
12263,The Exorcist Collection
89151,The Gremlins Collection
1657,Zorro Collection
372257,The Poseidon Adventure Collection
294468,Flubber Collection
87250,Bambi Collection
297143,Dexter Riley Collection
72119,"Honey, I Shrunk the Kids Collection"
97459,The Jungle Book Collection
97460,Lady and the Tramp Collection
33085,The Little Mermaid Collection
100693,101 Dalmatians (Animated) Collection
55422,Peter Pan Collection
57971,The Rescuers Collection
248126,Splash Collection
63043,TRON Collection
141290,The Lord of the Rings Animated Collection
263193,Charlotte's Web Collection
141292,The Secret Of NIMH Collection
8783,Fievel Collection
102782,House Collection
87805,The Gods Must Be Crazy Collection
143755,Henry: Portrait of a Serial Killer Collection
264338,Rosemary's Baby Collection
47983,Killer Tomatoes! Collection
735,Blade Collection
432,Cube Collection
90863,Rush Hour Collection
52760,Urban Legend
479888,The Thing Collection
348843,Vampires Collection
100286,Elizabeth Collection
374384,Stepford Collection
57129,Rugrats Collection
374509,Godzilla (Showa) Collection
374511,Godzilla (Heisei) Collection
135495,King Kong (1933 series)
135498,King Kong (1976 series)
104833,Fletch Collection
9338,Police Academy Collection
5039,Rambo Collection
89264,Romancing the Stone Collection
86307,Cocoon Collection
340623,The Gate Collection
123213,The Fly (1958 series)
109609,The Fly Collection
111751,Texas Chainsaw Massacre Collection
9332,Crocodile Dundee Collection
387219,The Hustler Collection
387618,8MM Collection
10789,Pet Sematary Collection
33938,Airport Collection
124934,Alligator Collection
166698,Westworld Collection
1709,Planet of the Apes Original Collection
110127,Analyze Collection
52789,Cruel Intentions Collection
2344,The Matrix Collection
1733,The Mummy Collection
205860,The Black Mask Collection
221544,The Mummy (Universal Series)
138965,The Mummy (Hammer Series)
8537,Superman Collection
221539,Dracula (Universal Series)
259027,The Wolf Man (Universal Series)
123720,Frankenstein (Hammer Series)
281644,Rocky Horror Collection
87228,Swamp Thing Collection
106768,Tarzan (Animation) Collection
2806,American Pie Collection
104068,Tales of the Four Seasons
64750,Blair Witch Collection
97768,Lake Placid Collection
2980,Ghostbusters Collection
237445,Inspector Gadget Collection
185682,The Adventures of Antoine Doinel
135502,Allan Quatermain Collection
91663,Airplane Collection
180854,Problem Child Collection
201873,A Christmas Story Collection
10713,Universal Soldier Collection
123251,Iron Eagle Collection
189295,The Spiders Serial
143757,Stir of Echoes Collection
98168,Fright Night Collection
146136,Armour of God Collection
47770,Phantasm Collection
12203,Drunken Master Collection
124492,The Dirty Dozen Collection
59586,The Blue Lagoon collection
380822,Penitenciaría - Colección
122947,Omega Code Series
381396,Bats Collection
243598,The Best Man Collection
89188,Harry Palmer Collection
391047,On Any Sunday Collection
248339,House on Haunted Hill Collection
98036,Re-Animator Collection
107725,Creepshow Collection
212279,Piranha Collection
398740,Mister Roberts Collection
48037,Meatballs Collection
34055,Pokémon Collection
95051,The Up Series
95664,Deuce Bigalow Collection
135509,The Last Picture Show Collection
321063,The Sinbad Collection
99727,Stuart Little Collection
421904,Batman (DC Universe Animated) Collection
103573,Sister Act Collection
8979,Wayne's World Collection
110179,The Cutting Edge Collection
338282,Single White Female Collection
87186,The Boondock Saints Collection
327598,"To Sir, with Love Collection"
2794,The Chronicles of Riddick Collection
103577,The Whole Nine/Ten Yards Collection
93568,Cross of Iron Collection
124950,American Graffiti Collection
8864,Final Destination Collection
14377,Death Wish Collection
1582,Teenage Mutant Ninja Turtles (Original) Collection
8647,The Skulls Collection
366826,Navarone Collection
338327,Beach Party Collection
170754,Arthur Collection
466318,Bachelor Party Collection
399,Predator Collection
86105,American Psycho Collection
159616,East is East Collection
104847,Caddyshack Collection
256484,Carnosaur Collection
175858,Hidden Collection
127280,The Three Mothers Collection
342009,Die Nibelungen Filmreihe
246839,Center Stage Collection
179244,Pee-wee's Collection
96679,Road Trip Collection
59567,Shanghai Noon Collection
44979,Big Momma's House Collection
123726,Quatermass (Hammer series)
107949,Puppet Master Collection
424830,The Benji Collection
157671,The Decline of Western Civilization Collection
10456,Dirty Harry Collection
109592,Porky's Collection
263866,Nuke 'Em High Collection
32135,The Toxic Avenger Collection
174245,Alien Nation Collection
8945,Mad Max Collection
121195,9½ Weeks Collection
207447,Firestarter Collection
495,Shaft Collection
171439,F/X Collection
46512,Missing in Action Collection
173628,Nekromantik Collection
4246,Scary Movie Collection
748,X-Men Collection
166376,Hollow Man Collection
123256,Pumpkinhead Collection
47391,Sleepaway Camp Collection
123249,"Ilsa, She Wolf of the SS Collection"
223564,The Cell Collection
374512,Godzilla (Millennium) Collection
25410,The Art of War Collection
430186,Bring It On Collection
8412,Anatomy Collection
221537,Creature From The Black Lagoon (Universal Series)
259401,The Invisible Man (Universal Series)
138971,The Slumber Party Massacre Collection
138974,The Sorority House Massacre Collection
39244,Digimon Collection
51509,Meet the Parents Collection
240690,Billy Jack Collection
44913,Ghoulies Collection
86029,Charlie's Angels Collection
290973,"Crouching Tiger, Hidden Dragon Collection"
106498,Dungeons & Dragons Collection
52783,Wall Street Collection
178117,The Emperor's New Groove Collection
93220,Miss Congeniality Collection
115822,Dracula 2000 Collection
312735,Annie Collection
107469,Save The Last Dance Collection
141282,The Brave Little Toaster Collection
330555,Ernest Collection
109076,Lost Boys Collection
124951,Mannequin Collection
109082,Left Behind Collection
287016,Wong Kar-Wai's Informal Collection
421084,Disneys Große Pause
366444,Demetrius Filmreihe
116847,Dr. Phibes Collection
48190,Revenge of the Nerds Collection
257571,C.H.U.D. Collection
86486,Spy Kids Collection
8936,Bridget Jones Collection
353325,Joe Dirt Collection
2150,Shrek Collection
441439,Alienation Trilogy
110021,The Magnificent Seven Collection
100965,Atlantis Collection
2467,Tomb Raider Collection
9485,The Fast and the Furious Collection
3963,The Crimson Rivers Collection
87014,Cats & Dogs Collection
421566,Totò Collection
101688,Cannonball Run Collection
427956,Dr Goldfoot Collection
140760,Final Fantasy Collection
86024,Legally Blonde Collection
10893,Critters Collection
182617,Elvira Collection
101471,Return of the Living Dead Collection
89272,The Man From Snowy River Collection
86347,Short Circuit Collection
126220,The Waxwork Collection
91945,American Ninja Collection
91746,Bill & Ted's Most Excellent Collection
98853,Cyborg Collection
351230,Dream a Little Dream Collection
186102,Eddie and the Cruisers Collection
88735,K-9 Collection
105322,Kickboxer Collection
9521,Look Who's Talking Collection
87631,The Musketeers Collection
224976,Road House Collection
138706,The Stepfather Collection
87536,Warlock Collection
104716,Basket Case Collection
107674,The Princess Diaries Collection
239968,La cage aux folles
168182,Philo & Clyde Collection
94899,Jeepers Creepers Collection
383632,A Man Called Horse Collection
352789,Zoolander Collection
166378,Joy Ride Collection
41649,The Party Collection
178106,Darko Collection
137696,"Monsters, Inc. Collection"
276838,When a Stranger Calls Collection
1241,Harry Potter Collection
449750,Fanny Brice Collection
106000,Beastmaster Collection
284024,The Exterminator Collection
211753,Caprona Collection
98513,Behind Enemy Lines Collection
304,Ocean's Collection
119,The Lord of the Rings Collection
476056,Fritz the Cat Collection
395591,Sex and Zen Collection
93295,48 Hrs. Collection
87214,The Sandlot Collection
449462,Super Troopers Collection
262011,Sleuth Collection
124879,State Property Collection
215326,The Bad New Bears Collection
460292,The Lone Ranger (Clayton Moore) Collection
122952,Vampire Hunter D Collection
19160,FernGully Collection
133923,Zombi Collection
108669,Get Smart Collection
221308,"Oh, God! Collection"
8354,Ice Age Collection
17255,Resident Evil Collection
456980,The Paleface Collection
135441,Road to Collection
87220,Smokey and the Bandit Collection
112537,Sällskapsresorna
43220,National Lampoon’s Van Wilder Collection
261526,Slap Shot Collection
389767,My Big Fat Greek Wedding Collection
256729,War Trilogy
406817,Horror High Collection
107688,3 Men Collection
116669,The Scorpion King Collection
5202,Wild Orchid Collection
556,Spider-Man Collection
178654,White Fang Collection
31562,The Bourne Collection
86860,Scooby-Doo Collection
97461,Lilo & Stitch Collection
363014,Like Mike Collection
167456,Our Man Flint Collection
113635,The Modesty Blaise Collection
52785,xXx Collection
356437,Living Trilogy
115839,Blue Crush Collection
117777,Undisputed Collection
363966,Care Bears Collection
135501,976-EVIL Collection
176097,Barbershop Collection
9518,The Transporter Collection
267922,The Hills Have Eyes (Original) Collection
277739,"Heaven, Hell and Purgatory Collection"
123724,Dracula (Hammer Series)
386818,Django - Original films
14563,The Ring Collection
288280,Saturday Night Fever Collection
457305,Man of Marble/Iron Collection
373538,Enter the Ninja Collection
97237,Faces of Death Collection
169329,Göta kanal collection
295862,The BRD Collection
264437,My Bloody Valentine Collection
17178,Jackass Collection
43063,Half Past Dead Collection
148517,"Pagnol, Childhood's Memories"
88574,Scanners Collection
218293,Brother Collection
12075,Elling Collection
296429,I Spit on Your Grave (Original) Collection
374386,Anglo-Zulu War Collection
140126,Vabank (Collection)
63170,Jönsson Gang
164397,Class of 1999 Collection
423877,Turkish Star Wars
85960,My Girl Collection
104842,Blue Collar Comedy Tour Collection
227147,Tokyo Decadence series
10517,Le Gendarme de St. Tropez Collection
315750,They Call Me Bruce Collection
137766,Zapped Collection
195441,Dennis the Menace Collection
405393,The Black Stallion Collection
375886,Willard
354210,Born Free Trilogy
93369,Ringu Collection
261057,I Am Curious Collection
100992,The Flicka Collection
8385,Aki Kaurismäki's Finland trilogy
105625,House of 1000 Corpses Collection
228887,Daddy Day Camp Collection
92222,Breakin' Collection
431417,Nevada Smith Collection
239766,The Klapisch Trilogy
124949,Almighty Collection
137697,Finding Nemo Collection
