genres,id,popularity,production_companies,runtime,vote_average,vote_count,title,collection
"[16, 35, 10751]",862,21.946943,[3],81.0,7.7,5415.0,Toy Story,10194
"[12, 14, 10751]",8844,17.015539,"[559, 2550, 10201]",104.0,6.9,2413.0,Jumanji,
"[10749, 35]",15602,11.7129,"[6194, 19464]",101.0,6.5,92.0,Grumpier Old Men,119050
"[35, 18, 10749]",31357,3.859495,[306],127.0,6.1,34.0,Waiting to Exhale,
[35],11862,8.387519,"[5842, 9195]",106.0,5.7,173.0,Father of the Bride Part II,96871
"[28, 80, 18, 53]",949,17.924927,"[508, 675, 6194]",170.0,7.7,1886.0,Heat,
"[35, 10749]",11860,6.677277,"[4, 258, 932, 5842, 14941, 55873, 58079]",127.0,6.2,141.0,Sabrina,
"[28, 12, 18, 10751]",45325,2.561161,[2],97.0,5.4,45.0,Tom and Huck,
"[28, 12, 53]",9091,5.23158,"[33, 21437, 23770]",106.0,5.5,174.0,Sudden Death,
"[12, 28, 53]",710,14.686036,"[60, 7576]",130.0,6.6,1194.0,GoldenEye,645
"[35, 18, 10749]",9087,6.318445,"[5, 97]",106.0,6.5,199.0,The American President,
"[35, 27]",12110,5.430331,"[5, 97, 6368]",88.0,5.7,210.0,Dracula: Dead and Loving It,
"[10751, 16, 12]",21032,12.140733,"[33, 56, 4105]",78.0,7.1,423.0,Balto,117693
"[36, 18]",10858,5.092,"[915, 1504]",192.0,7.1,72.0,Nixon,
"[28, 12]",1408,7.284477,"[183, 415, 8411, 14723]",119.0,5.7,137.0,Cutthroat Island,
"[18, 80]",524,10.137389,"[33, 10898, 11583, 11584]",178.0,7.8,1343.0,Casino,
"[18, 10749]",4584,10.673167,"[441, 932]",136.0,7.2,364.0,Sense and Sensibility,
"[80, 35]",5,9.026586,"[14, 59]",98.0,6.5,539.0,Four Rooms,
"[80, 35, 12]",9273,8.205448,"[5682, 6194, 10210]",90.0,6.1,1128.0,Ace Ventura: When Nature Calls,3167
"[28, 35, 80]",11517,7.337906,[5],103.0,5.4,224.0,Money Train,
"[35, 53, 80]",8012,12.669608,"[216, 8411]",105.0,6.4,305.0,Get Shorty,91698
"[18, 53]",1710,10.701801,"[508, 10104]",124.0,6.5,199.0,Copycat,
"[28, 12, 80, 53]",9691,11.065939,"[1885, 5358, 6194, 10308, 23397, 25061]",132.0,6.0,394.0,Assassins,
"[18, 14, 878, 53]",12665,12.133094,"[175, 915]",111.0,6.3,143.0,Powder,
"[18, 10749]",451,10.332025,"[60, 15547]",112.0,7.1,365.0,Leaving Las Vegas,
[18],16420,1.845899,"[5, 97]",123.0,7.0,33.0,Othello,
"[35, 18, 10751]",9263,8.681325,[12],100.0,6.6,91.0,Now and Then,
"[18, 10749]",17015,2.228434,[288],104.0,7.4,36.0,Persuasion,
